id;code;name;town_id;icao;name_eng
120;BZE;Белиз;BZE;MZBZ;Belize - Phillip Gol
121;BZK;Брянск;BZK;UUBP;Bryansk
122;BZV;Браззавиль;BZV;FCBB;Brazzaville
123;CAG;Кальяри;CAG;LIEE;Cagliari
124;CAI;Каир;CAI;HECA;Cairo Intl
125;CAN;Баюань;CAN;ZGGG;Baiyun
126;CBG;Кембридж;CBG;EGSC;Cambridge
127;CCJ;Каликут;CCJ;;Calicut
128;CCS;Симон Боливар Инт.;CCS;SVMI;Simon Bolivar Intl
129;CCU;Калькутта;CCU;VECC;NETAJI SUBHASH CHAND
130;CDG;Шарль-де-Голль;PAR;LFPG;Charles-De-Gaulle
131;CEB;Мактан-Себу Межд,;CEB;RPVM;Mactan-Cebu Intl
132;CEE;Череповец;CEE;ULWC;Cherepovets
133;CEK;Баландино;CEK;USCC;Balandino
134;CEQ;Канны;CEQ;LFMD;Mandelieu
135;CER;Шербург;CER;LFRC;Cherbourg
136;CFE;Клермонт-Ферран;CFE;LFLC;Clermont-Ferrand
137;CFU;Керкира /И. Каподист;CFU;LGKR;Kerkyra/Ioanis-Kapod
138;CGK;Сукарно;JKT;WIII;Cengkareng
139;CGN;Кельн(Бонн);CGN;EDDK;Cologne Bonn
140;CGO;Чженчжоу;CGO;ZHCC;Zhengzhou
141;CHC;Крайстчерч;CHC;;Christchurch
142;CHQ;Чания;CHQ;LGSA;Chania
143;CHR;Шатеруа;CHR;LFLX;Chateauroux
144;CIA;Чампино;ROM;LIRA;Ciampino
145;CIT;Чимкент;CIT;UAII;Shymkent
146;CJJ;Ченжу;CJJ;;Cheong Ju
147;CJU;Чеджу;CJU;RKPC;Cheju Int.
148;CKG;Чонсинь;CKG;ZUCK;Chongqing Jiangbei I
149;CKY;Конакри;CKY;GUCY;Conakry
150;CMB;Бандаранаике;CMB;VCBI;Bandaranaike Intl
151;CMF;Шамбери;CMF;LFLB;Chambery
152;CMN;Касабланка;CAS;GMMN;Casablanka
153;CMW;Игнасио Аграмо;CMW;MUCM;Ignacio Agramonte
154;CND;Констанца;CND;LRCK;Constanca
155;CNG;Коньяк;CNG;LFBG;Cognac
156;CNS;Карнс;CNS;;Cairns
157;COO;Котону;COO;DBBB;Cotonou
158;COR;Кордоба;COR;SACO;Cordoba
159;CPH;Каструп;CPH;EKCH;Kastrup
160;CPT;Кейптаун;CPT;FACT;CAPE TOWN INTERNATIO
161;CRL;Шарлеруа;BRU;EBCI;Brussels South Charl
162;CSX;Чанша;CSX;ZGCS;Changsha
163;CSY;Чебоксары;CSY;UWKS;Cheboksary
164;CTA;Фонтана Росса;CTA;LICC;Fontana Rossa
165;CTS;Саппоро;CTS;RJCC;
166;CTU;Ченду;CTU;ZUUU;Chengdu
167;CUN;Канкун;CUN;MMUN;Cancun
